rank sepolia arbitrumSepolia baseSepolia zksyncSepolia
1 31.66 30.67 120.34 122.94
2 32.41 31.73 120.95 123.33
3 32.84 32.51 121.44 124.18
4 32.88 32.52 121.58 124.82
5 32.95 32.60 121.68 124.98
6 33.02 32.89 123.04 125.07
7 33.13 33.01 123.60 125.16
8 33.17 33.34 123.62 125.35
9 33.21 33.51 123.78 125.46
10 33.41 33.54 123.81 125.53
11 33.47 33.68 124.71 125.55
12 33.67 33.69 124.89 125.58
13 33.75 33.71 125.10 125.64
14 33.77 33.71 125.14 125.78
15 33.78 33.79 125.45 125.95
16 33.85 33.99 125.94 126.02
17 33.92 34.00 126.00 126.08
18 33.94 34.00 126.16 126.09
19 33.97 34.08 126.16 126.18
20 34.01 34.15 126.78 126.23
21 34.07 34.29 126.78 126.27
22 34.08 34.31 126.80 126.29
23 34.28 34.33 126.84 126.33
24 34.38 34.40 126.88 126.34
25 34.45 34.43 126.91 126.41
26 34.51 34.45 126.98 126.53
27 34.54 34.45 127.36 126.70
28 34.54 34.61 127.37 126.72
29 34.58 34.63 127.90 126.74
30 34.68 34.67 128.38 126.78
31 34.70 34.80 128.52 126.85
32 34.75 34.80 128.95 126.92
33 34.77 34.82 128.96 126.95
34 34.81 34.83 129.37 127.10
35 34.86 34.95 129.78 127.10
36 34.89 34.97 129.80 127.13
37 34.95 34.97 129.92 127.15
38 34.99 35.00 130.18 127.16
39 35.04 35.17 130.30 127.16
40 35.05 35.34 130.55 127.18
41 35.05 35.38 130.68 127.22
42 35.07 35.40 131.00 127.25
43 35.08 35.43 131.17 127.28
44 35.10 35.44 132.12 127.28
45 35.10 35.44 132.65 127.29
46 35.11 35.47 134.75 127.34
47 35.13 35.53 134.97 127.47
48 35.21 35.55 136.27 127.53
49 35.21 35.70 138.99 127.54
50 35.28 35.72 139.89 127.56
51 35.32 35.73 139.96 127.61
52 35.33 35.73 141.18 127.63
53 35.40 35.77 141.83 127.70
54 35.41 35.81 145.93 127.78
55 35.41 35.85 146.55 127.79
56 35.43 35.85 151.83 127.86
57 35.46 35.91 159.90 127.91
58 35.51 35.93 165.08 127.93
59 35.59 35.94 170.40 127.97
60 35.63 36.00 173.42 128.00
61 35.68 36.00 173.49 128.06
62 35.69 36.02 173.83 128.07
63 35.75 36.06 175.69 128.09
64 35.80 36.07 176.05 128.09
65 35.86 36.11 176.24 128.12
66 35.86 36.14 176.72 128.13
67 35.86 36.14 177.51 128.27
68 35.90 36.19 178.23 128.32
69 35.92 36.21 179.34 128.35
70 35.93 36.25 179.45 128.54
71 35.94 36.28 179.73 128.56
72 35.96 36.30 180.00 128.60
73 35.98 36.30 180.14 128.65
74 36.00 36.36 180.44 128.66
75 36.09 36.46 180.91 128.77
76 36.11 36.51 181.62 128.78
77 36.13 36.56 181.62 128.86
78 36.20 36.60 182.10 128.90
79 36.22 36.62 182.31 128.91
80 36.26 36.64 182.82 128.95
81 36.31 36.65 184.04 129.00
82 36.38 36.65 184.25 129.03
83 36.39 36.69 184.30 129.03
84 36.39 36.74 184.48 129.03
85 36.43 36.74 184.74 129.19
86 36.46 36.75 184.81 129.22
87 36.53 36.76 185.15 129.46
88 36.55 36.77 185.70 129.57
89 36.62 36.80 187.66 129.59
90 36.69 36.83 188.81 129.59
91 36.73 36.85 190.88 129.68
92 36.80 36.89 191.38 129.68
93 36.84 36.90 196.91 129.75
94 36.84 36.91 197.49 129.76
